shape	Ip	Fp	N_x	N_y	D	A	B	beta	E	COF	LCC	h_min
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.95	0.0038702254706405527	3036.159997989239	3.7514022921235982e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.96	0.0032823388604319714	3985.8170373425432	3.0000459024709265e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.97	0.0026856611171568985	5607.512151182024	2.250026690953008e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.98	0.002059205159287291	8931.865896496858	1.5026804942244176e-06
C-11	120	0.23	6	6	1e-06	0.0005	0	0	0.985	0.0017277510269417284	12305.29121022625	1.1250007319876964e-06
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.1	0.34254335585409246	11.352660009409652	6.75001207740933e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.2	0.16810187574757873	23.874172118252382	6.0000001569948634e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.3	0.10577490541161284	39.40958907368646	5.2500175259541406e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.4	0.07135706215074077	61.1029131600477	4.500036448100731e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.5	0.049348348248968596	93.98772260990818	3.7500039137838766e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.6	0.03403729774104861	147.33540885039284	3.0000798740340827e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.7	0.022704750898538684	245.34678356748572	2.2500030707989087e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.8	0.0130856629260947	494.82070819739795	1.500171847166528e-05
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.9	0.005667730680741425	1580.3736525722788	7.501608161447731e-06
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.91	0.005066917231068616	1855.1655717542524	6.750960634360572e-06
C-12	120	1.0	6	6	1e-06	0.0005	0	0	0.92	0.004487039250001977	2211.380111265065	6.000052613340972e-06
